day,month,RH,Ws,Rain,FFMC,DMC,DC,ISI,Classes,Region,Temperature
26,Sep,65,14,0.0,85.4,16.0,44.5,4.5,fire,Sidi-Bel Abbes,30
29,Jul,73,15,0.0,86.6,26.7,127.0,5.6,fire,Bejaia,32
7,Jun,44,17,0.2,85.6,9.9,28.9,5.4,fire,Sidi-Bel Abbes,35
29,Jun,47,13,0.3,79.9,18.4,84.4,2.2,not fire,Bejaia,32
7,Sep,62,15,0.0,83.3,5.8,17.7,3.8,fire,Sidi-Bel Abbes,31
2,Jun,73,13,4.0,55.7,2.7,7.8,0.6,not fire,Sidi-Bel Abbes,30
11,Jul,56,15,2.9,74.8,7.1,9.5,1.6,not fire,Sidi-Bel Abbes,34
22,Sep,64,13,0.0,88.9,26.1,106.3,7.1,fire,Sidi-Bel Abbes,33
13,Aug,34,16,0.2,88.3,16.9,45.1,7.5,fire,Sidi-Bel Abbes,35
30,Jun,50,14,0.0,88.7,22.9,92.8,7.2,fire,Bejaia,33
17,Jul,81,17,0.0,84.6,21.1,42.3,4.7,fire,Sidi-Bel Abbes,32
1,Sep,76,17,7.2,46.0,1.3,7.5,0.2,not fire,Bejaia,25
9,Aug,59,17,0.0,87.4,14.8,57.0,6.9,fire,Bejaia,35
20,Jun,80,16,0.4,59.8,3.4,27.1,0.9,not fire,Bejaia,30
6,Sep,74,19,0.1,75.8,3.6,32.2,2.1,not fire,Bejaia,29
16,Jun,87,15,0.4,47.4,4.2,8.0,0.2,not fire,Sidi-Bel Abbes,29
19,Aug,66,15,0.1,82.7,32.7,96.8,3.3,fire,Sidi-Bel Abbes,35
13,Jun,84,21,1.2,50.0,6.7,17.0,0.5,not fire,Bejaia,27
18,Jun,62,10,8.7,65.5,4.6,8.3,0.9,not fire,Sidi-Bel Abbes,33
16,Sep,26,13,0.0,93.9,21.2,59.2,14.2,fire,Sidi-Bel Abbes,33
2,Sep,67,19,0.0,75.4,2.9,16.3,2.0,not fire,Sidi-Bel Abbes,28
16,Jul,83,17,0.0,84.5,19.4,33.1,4.7,fire,Sidi-Bel Abbes,31
24,Aug,64,14,0.0,88.9,40.5,171.3,9.0,fire,Bejaia,34
30,Jun,42,15,1.7,79.7,12.0,8.5,2.2,not fire,Sidi-Bel Abbes,34
15,Jul,80,19,0.4,60.7,5.2,17.0,1.1,not fire,Bejaia,30
30,Sep,64,15,0.2,67.3,3.8,16.5,1.2,not fire,Sidi-Bel Abbes,24
25,Jul,64,9,1.2,73.8,11.7,15.9,1.1,not fire,Sidi-Bel Abbes,39
26,Sep,54,11,0.0,82.0,6.0,16.3,2.5,not fire,Bejaia,31
14,Sep,81,15,0.0,84.6,12.6,41.5,4.3,fire,Sidi-Bel Abbes,28
26,Aug,37,16,0.0,92.2,61.3,167.2,13.1,fire,Sidi-Bel Abbes,33
18,Jul,68,14,0.0,85.4,12.1,43.1,4.6,fire,Bejaia,31
4,Sep,66,15,0.2,73.5,4.1,26.6,1.5,not fire,Sidi-Bel Abbes,30
6,Sep,71,14,6.5,64.5,3.3,9.1,1.0,not fire,Sidi-Bel Abbes,34
6,Jul,42,15,0.3,84.7,15.5,45.1,4.3,fire,Sidi-Bel Abbes,35
31,Jul,55,15,0.0,89.3,28.3,67.2,8.3,fire,Sidi-Bel Abbes,37
20,Jul,65,15,0.1,81.4,12.3,62.1,2.8,fire,Bejaia,33
21,Sep,55,11,0.0,87.8,16.5,57.9,5.4,fire,Bejaia,31
5,Jun,77,16,0.0,64.8,3.0,14.2,1.2,not fire,Bejaia,27
4,Jun,89,13,2.5,28.6,1.3,6.9,0.0,not fire,Bejaia,25
11,Sep,77,21,1.8,58.5,1.9,8.4,1.1,not fire,Bejaia,30
13,Sep,49,19,0.0,88.6,11.5,33.4,9.1,fire,Sidi-Bel Abbes,29
4,Jul,58,18,0.0,88.0,13.6,36.8,8.0,fire,Sidi-Bel Abbes,34
23,Sep,54,11,0.5,73.7,7.9,30.4,1.2,not fire,Bejaia,32
23,Jun,62,18,0.1,81.4,8.2,47.7,3.3,fire,Bejaia,32
2,Jul,48,16,0.0,87.6,7.9,17.8,6.8,fire,Sidi-Bel Abbes,33
5,Jun,60,14,0.2,77.1,6.0,17.6,1.8,not fire,Sidi-Bel Abbes,32
2,Jun,61,13,1.3,64.4,4.1,7.6,1.0,not fire,Bejaia,29
21,Jul,70,17,0.0,85.4,18.5,71.5,5.2,fire,Bejaia,33
9,Jul,43,15,1.9,82.3,9.4,9.9,3.2,fire,Sidi-Bel Abbes,36
11,Jun,65,14,0.0,84.5,12.5,54.3,4.0,fire,Bejaia,31
14,Jun,79,16,0.7,53.4,6.4,7.3,0.5,not fire,Sidi-Bel Abbes,27
28,Aug,64,16,0.0,89.4,50.2,210.4,7.3,fire,Bejaia,34
25,Sep,81,21,5.8,48.6,3.0,7.7,0.4,not fire,Bejaia,26
1,Jun,71,12,0.7,57.1,2.5,8.2,0.6,not fire,Sidi-Bel Abbes,32
16,Sep,65,14,0.0,78.1,3.2,15.7,1.9,not fire,Bejaia,30
4,Aug,69,13,0.0,85.0,8.2,19.8,4.0,fire,Bejaia,34
9,Jul,68,14,1.4,66.6,7.7,9.2,1.1,not fire,Bejaia,32
22,Jul,48,18,0.0,91.5,44.2,90.1,13.2,fire,Sidi-Bel Abbes,32
10,Jun,79,12,0.0,73.2,9.5,46.3,1.3,not fire,Bejaia,28
3,Jul,56,17,0.1,84.7,9.7,27.3,4.7,fire,Sidi-Bel Abbes,34
16,Jul,76,21,0.0,72.6,7.0,25.5,0.7,not fire,Bejaia,28
29,Sep,54,18,0.1,79.7,4.3,15.2,1.7,not fire,Sidi-Bel Abbes,24
8,Sep,73,17,0.9,62.0,2.6,8.4,1.1,not fire,Bejaia,30
18,Aug,37,14,0.0,94.3,35.9,86.8,16.0,fire,Sidi-Bel Abbes,37
7,Aug,69,16,0.0,86.5,15.5,48.6,5.5,fire,Bejaia,32
24,Jul,63,17,1.1,72.8,20.9,56.6,1.6,not fire,Sidi-Bel Abbes,33
30,Jul,56,16,0.0,88.9,23.8,57.1,8.2,fire,Sidi-Bel Abbes,36
8,Jun,51,17,1.3,71.4,7.7,7.4,1.5,not fire,Sidi-Bel Abbes,28
13,Jun,52,15,2.0,72.3,11.4,7.8,1.4,not fire,Sidi-Bel Abbes,30
23,Aug,53,16,0.0,89.5,37.6,161.5,10.4,fire,Bejaia,36
31,Aug,59,19,0.0,89.1,27.8,168.2,9.8,fire,Sidi-Bel Abbes,30
9,Jun,59,18,0.1,78.1,8.5,14.7,2.4,not fire,Sidi-Bel Abbes,27
11,Sep,73,14,0.0,79.2,6.5,16.6,2.1,not fire,Sidi-Bel Abbes,30
5,Sep,75,16,0.0,80.8,3.4,24.0,2.8,fire,Bejaia,29
25,Jun,64,15,0.0,86.7,14.2,63.8,5.7,fire,Bejaia,31
1,Aug,52,14,0.0,78.3,4.4,10.5,2.0,not fire,Sidi-Bel Abbes,38
20,Sep,84,18,0.0,83.8,13.5,49.3,4.5,fire,Bejaia,28
25,Aug,40,18,0.0,92.1,56.3,157.5,14.3,fire,Sidi-Bel Abbes,34
27,Aug,82,21,0.0,84.9,47.0,200.2,4.4,fire,Bejaia,33
12,Jun,81,19,0.0,84.0,13.8,61.4,4.8,fire,Bejaia,26
11,Jun,42,21,0.0,90.6,18.2,30.5,13.4,fire,Sidi-Bel Abbes,31
23,Aug,43,16,0.0,91.2,46.1,137.7,11.5,fire,Sidi-Bel Abbes,36
11,Jul,76,14,0.0,81.1,8.1,18.7,2.6,not fire,Bejaia,33
21,Sep,34,17,0.0,92.2,23.6,97.3,13.8,fire,Sidi-Bel Abbes,35
5,Aug,42,17,0.1,88.3,23.6,52.5,19.0,fire,Sidi-Bel Abbes,34
13,Sep,86,21,4.6,40.9,1.3,7.5,0.1,not fire,Bejaia,25
1,Jul,58,18,2.2,63.7,3.2,8.5,1.2,not fire,Sidi-Bel Abbes,28
9,Aug,43,12,0.0,91.7,16.5,30.9,9.6,fire,Sidi-Bel Abbes,39
10,Sep,74,15,1.1,59.5,4.7,8.2,0.8,not fire,Sidi-Bel Abbes,29
5,Sep,58,12,4.1,66.1,4.0,8.4,1.0,not fire,Sidi-Bel Abbes,30
4,Sep,73,17,0.1,68.4,1.9,15.7,1.4,not fire,Bejaia,29
1,Sep,86,16,0.0,37.9,0.9,8.2,0.1,not fire,Sidi-Bel Abbes,29
30,Aug,49,15,0.0,89.2,24.8,159.1,8.1,fire,Sidi-Bel Abbes,34
12,Sep,72,14,0.0,84.2,8.3,25.2,3.8,fire,Sidi-Bel Abbes,31
30,Aug,70,17,0.8,72.7,25.2,180.4,1.7,not fire,Bejaia,35
17,Aug,52,18,0.0,89.3,16.0,100.7,9.7,fire,Bejaia,37
10,Jul,69,13,0.7,66.6,6.0,9.3,1.1,not fire,Bejaia,33
11,Aug,63,13,0.0,88.9,21.7,77.0,7.1,fire,Bejaia,35
29,Jul,59,16,0.0,88.1,19.5,47.2,7.4,fire,Sidi-Bel Abbes,34
3,Aug,33,17,0.0,93.7,17.1,32.1,17.2,fire,Sidi-Bel Abbes,39
19,Jul,58,16,0.0,88.1,27.8,61.1,7.3,fire,Sidi-Bel Abbes,34
10,Sep,73,12,1.8,59.9,2.2,8.9,0.7,not fire,Bejaia,33
15,Aug,46,13,0.3,83.9,16.9,54.2,3.5,fire,Sidi-Bel Abbes,35
16,Jun,89,13,0.7,36.1,1.7,7.6,0.0,not fire,Bejaia,29
24,Sep,49,6,2.0,61.3,11.9,28.1,0.6,not fire,Sidi-Bel Abbes,26
18,Jul,68,15,0.0,86.1,23.9,51.6,5.2,fire,Sidi-Bel Abbes,33
19,Sep,41,8,0.1,83.9,24.9,86.0,2.7,fire,Sidi-Bel Abbes,29
31,Jul,64,17,0.0,87.2,31.9,145.7,6.8,fire,Bejaia,35
22,Jun,67,17,0.1,79.1,7.0,39.5,2.4,not fire,Bejaia,31
17,Jul,70,14,0.0,82.8,9.4,34.1,3.2,fire,Bejaia,29
13,Jul,45,13,0.6,85.2,11.3,10.4,4.2,fire,Sidi-Bel Abbes,39
1,Jun,57,18,0.0,65.7,3.4,7.6,1.3,not fire,Bejaia,29
27,Aug,54,14,0.0,91.0,65.9,177.3,10.0,fire,Sidi-Bel Abbes,36
9,Jun,88,13,0.2,52.9,7.9,38.8,0.4,not fire,Bejaia,25
14,Jul,61,13,0.6,73.9,7.8,22.9,1.4,not fire,Bejaia,34
28,Jun,55,14,0.0,89.1,25.5,88.5,7.6,fire,Bejaia,32
20,Jul,50,16,0.0,89.9,32.7,71.0,9.5,fire,Sidi-Bel Abbes,36
12,Jul,44,13,0.0,90.1,12.6,19.4,8.3,fire,Sidi-Bel Abbes,36
2,Sep,86,15,10.1,30.5,0.7,7.0,0.0,not fire,Bejaia,22
27,Jun,53,18,0.0,89.0,21.6,80.3,9.2,fire,Bejaia,34
15,Aug,55,13,0.3,82.4,15.6,92.5,3.7,fire,Bejaia,36
19,Jun,55,16,0.1,79.9,4.5,16.0,2.5,not fire,Bejaia,31
29,Aug,53,17,0.5,80.2,20.7,149.2,2.7,fire,Sidi-Bel Abbes,35
27,Sep,87,15,4.4,41.1,6.5,8.0,0.1,not fire,Sidi-Bel Abbes,28
19,Jun,67,14,4.5,64.6,4.4,8.2,1.0,not fire,Sidi-Bel Abbes,32
22,Aug,55,18,0.0,89.1,33.5,151.3,9.9,fire,Bejaia,36
30,Jul,79,15,0.0,85.4,28.5,136.0,4.7,fire,Bejaia,31
8,Aug,56,11,0.0,87.4,11.2,20.2,5.2,fire,Sidi-Bel Abbes,37
3,Jun,80,14,2.0,48.7,2.2,7.6,0.3,not fire,Sidi-Bel Abbes,29
21,Jul,29,18,0.0,93.9,39.6,80.6,18.5,fire,Sidi-Bel Abbes,36
7,Jun,54,13,0.0,88.2,9.9,30.5,6.4,fire,Bejaia,33
21,Jun,55,14,0.0,86.2,8.3,18.4,5.0,fire,Sidi-Bel Abbes,32
26,Jun,64,18,0.0,86.8,17.8,71.8,6.7,fire,Bejaia,31
8,Jul,68,19,0.0,85.6,12.5,49.8,6.0,fire,Bejaia,33
20,Aug,81,15,0.0,83.7,34.4,107.0,3.8,fire,Sidi-Bel Abbes,36
3,Aug,63,14,0.3,76.6,5.7,10.0,1.7,not fire,Bejaia,35
3,Jul,76,20,0.7,63.1,2.6,9.2,1.3,not fire,Bejaia,32
19,Sep,57,14,0.0,89.3,12.5,41.3,7.8,fire,Bejaia,29
22,Aug,53,14,0.0,89.5,41.1,127.5,8.0,fire,Sidi-Bel Abbes,37
31,Aug,80,21,16.8,52.5,8.7,8.7,0.6,not fire,Bejaia,28
22,Jun,46,14,1.1,78.3,8.1,8.3,1.9,not fire,Sidi-Bel Abbes,33
4,Jun,64,14,0.0,79.4,5.2,15.4,2.2,not fire,Sidi-Bel Abbes,30
21,Jun,78,14,0.0,81.0,6.3,31.6,2.6,fire,Bejaia,30
16,Aug,41,10,0.1,92.0,22.6,65.1,9.5,fire,Sidi-Bel Abbes,40
6,Aug,75,14,0.0,86.4,13.0,39.1,5.2,fire,Bejaia,32
7,Jul,64,18,0.2,80.0,9.7,40.4,2.8,not fire,Bejaia,35
9,Sep,80,15,0.0,83.1,7.9,34.5,3.5,fire,Sidi-Bel Abbes,30
22,Sep,50,19,0.6,77.8,10.6,41.4,2.4,not fire,Bejaia,31
17,Jun,89,16,0.6,37.3,1.1,7.8,0.0,not fire,Bejaia,30
5,Jul,66,14,0.0,85.9,7.6,27.9,4.8,fire,Bejaia,33
15,Jun,90,15,0.0,66.8,7.2,14.7,1.2,not fire,Sidi-Bel Abbes,28
8,Sep,88,14,0.0,82.5,6.6,26.1,3.0,fire,Sidi-Bel Abbes,30
27,Sep,66,11,0.0,85.7,8.3,24.9,4.0,fire,Bejaia,31
17,Jun,69,17,4.7,62.2,3.9,8.0,1.1,not fire,Sidi-Bel Abbes,31
29,Sep,80,16,1.8,47.4,2.9,7.7,0.3,not fire,Bejaia,26
2,Jul,75,19,1.2,55.7,2.4,8.3,0.8,not fire,Bejaia,27
19,Jul,59,17,0.0,88.1,12.0,52.8,7.7,fire,Bejaia,35
25,Aug,60,15,0.0,88.9,43.9,181.3,8.2,fire,Bejaia,35
22,Jul,79,18,0.1,73.4,16.4,79.9,1.8,not fire,Bejaia,28
25,Jul,65,18,0.0,84.3,12.5,88.7,4.8,fire,Bejaia,31
15,Jul,45,17,0.0,90.5,18.0,24.1,10.9,fire,Sidi-Bel Abbes,34
28,Sep,47,14,0.7,77.5,7.1,8.8,1.8,not fire,Bejaia,32
17,Sep,44,12,0.0,92.5,25.2,63.3,11.2,fire,Sidi-Bel Abbes,34
14,Aug,40,13,0.0,91.9,22.3,55.5,10.8,fire,Sidi-Bel Abbes,37
